ID,Name,Siret,Address,Zip Code,Type ID,Data Pass ID,Is Active,City,City Insee Code,Department Insee Code,Is Experiment,France Services Label,France Services Number,UUID
843,ACCUEIL DE L'HOTEL DE VILLE,21590017600011,PL DU GENERAL DE GAULLE,59280,,6476,true,,59017,59,false,false,,a401c6b6-3bd3-454b-bff6-d27b20cf4005
1203,CCAS de Bergues,26590067000018,PL DE LA REPUBLIQUE,59380,16,7214,true,,59016,59,false,false,,c6725986-a9f3-4991-8b97-5815ea8840f9
308,FRANCE SERVICES ANOR,17590001800011,9 RUE GEORGES CLEMENCEAU,59186,,4401,true,,59012,59,false,true,,cbcb4a2c-d36a-437a-95db-be77898a1088
110,JARDIN DE COCAGNE DE LA HAUTE BORNE,77562407501920,"150, avenue Harrison",59650,,4216,true,,59009,59,false,false,,2881ad0a-99df-4918-ab1b-2e014b918f8e
804,CCAS d'Aniche,26590008400038,5 Rue Henri Barbusse	59580 Aniche,59580,2,3911,true,Aniche,59008,59,false,false,,8b2ebe7b-84cd-43e1-bf72-ac6af7f5f2dd
2435,FRANCE SERVICE ABSCON,21590002800014,1 bis  rue Louis Pasteur,59215,14,11115,true,,59002,59,false,false,,602c5897-d666-4b7c-beb6-0c9a8e606c45
908,France Services - Espace Socio Culturel du Val du Sauzay,31817601300023,7 RUE NICOLAS COLBERT,58210,1,288004,true,Varzy,58304,58,false,true,,19a95c08-4650-4b24-9e71-e5753fa58039
4469,France Services de Varennes-Vauzelles,21580303200014,54 avenue Louis Fouchère,58640,347,58610858,true,VARENNES-VAUZELLES,58303,58,false,true,2628,ce5fc6e0-da06-4937-ba44-e06a394cb3ac
1070,MAIRIE DE TANNAY,21580286900010,1 PL CHARLES CHAIGNEAU,58190,,7042,true,,58284,58,false,false,,238c37dd-93aa-4611-9fb7-212493da290d
4685,France Services St Pierre le Moutier,1,35 Avenue du 8 Mai,58240,1,287991,true,Saint Pierre Le Moutier,58264,58,false,true,,99ad9db5-1cd8-46ac-a58a-39dbb172f98b
4682,France Services Magny Cours,1,35 Avenue du 8 Mai,58240,1,287990,true,Saint Pierre Le Moutier,58264,58,false,true,,d6c01d2e-39b6-4421-96ec-8ff838227c2d
4695,France Services Saint Honoré les Bains,1,"Bureau de poste
5 rue Eugène-Collin",58360,1,288001,true,Saint-Honoré-les-Bains,58246,58,false,true,,f8e8af2a-6de5-4b22-a75e-ec6bda53fec1
565,FRANCE SERVICES CERCY LA TOUR - CENTRE SOCIAL ENTRE LOIRE ET MORVAN,38391642600026,3 LA GRANDE REVENUE,58250,,5210,true,Cercy-La-Tour,58232,58,false,true,,6431b80c-9b02-449b-9aaf-6e5807686a92
4693,France Services de St Benin d'Azy,1,Place de la République,58270,1,287999,true,Saint-Benin-d'Azy,58232,58,false,true,,f18ac8de-1490-4654-82d5-8bdaa7123fc8
4721,France Services de St Amand en Puisaye,1,12 bis rue du faubourg neuf,58310,1,287569,true,Saint-Amand-En-Puisaye,58227,58,false,true,,5bb56b70-f57c-4335-b3f5-71d9172f5adb
895,FRANCE SERVICES DE POUILLY SUR LOIRE,35600000026963,32 RUE WALDECK ROUSSEAU,58150,,6224,true,,58215,58,false,true,,b5144528-3f0d-41ba-8df6-2cb394a05a54
3803,France Services de Pougues-les-Eaux,21580214100014,351 avenue Conti,58320,1,58310103,true,POUGUES LES EAUX,58214,58,false,true,2627,84a9dd67-776f-464e-9479-395ae4e84c93
1068,MAISON FRANCE SERVICES CORBIGNY,20006769200018,3 GRANDE RUE,58800,,7086,true,,58208,58,false,true,,9e0c23bd-503e-40bf-af0a-c17fae5113df
1922,Coallia foyer clair-joie,77568030902633,2 RUE DU CLOITRE ST CYR,58000,142,8360,true,Nevers,58194,58,false,false,,d2e69a3e-a810-4f9c-9726-b7587eca5f1e
