Name,ID,Is Active,City Insee Code,Address,Zip Code,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
Communauté de Communes Terres du Haut Berry,1359,true,18003,31 B RTE DE RIANS,18220,false,,1,,,,,,,,,,,,
Appartements de coordination thérapeutique d'Eure-et-Loir,1360,true,28085,84 AV DU MARECHAL MAUNOURY,28000,false,,3,2,11,1,,1,,,,1,,,8
France Services Valençay,1361,true,36107,Espace Gâtines 11 route Faverolles,36600,true,,3,,,,,,,,,,,,
Espace emploi Moselle et Madon,1362,true,54111,2 place des Tricoteries,54230,false,,5,4,4,,,2,,,1,1,,,
FRANCE SERVICES ENNERY,1363,true,57193,2 place Robert Schuman,57365,true,Ennery,3,169,297,71,2,7,,,22,30,63,79,23
Association Familles Rurales du Pays de Colombey,1364,true,54135,4 RUE RUE DE MONCEL,54170,false,Colombey-les-Belles,3,2,3,,,2,,,,,,1,
commune de Taillancourt,1365,true,55533,2 RUE DU PONT,55140,false,,1,,,,,,,,,,,,
France services MARIGNY LE CHATEL,1366,true,10339,4 BIS RUE DU GEORGES CLEMENCEAU,10350,true,,2,22,,,,,,,,,,,
MAIRIE SAVIGNY SUR ARDRES,1367,true,51250,18 RUE PIERRIER DE SAVIGNY,51170,false,,1,,,,,,,,,,,,
Espace France Services de Rostrenen,1368,true,22266,6 RUE JOSEPH PENNEC,22110,true,,2,,,,,,,,,,,,
CCAS REDON SERVICE ACCOMPAGNEMENT SOCIAL,1369,true,35236,7 RUE DES DOUVES,35600,false,,2,,,,,,,,,,,,
Clic La Roche aux Fées,1370,true,35125,3 RUE DU DOCTEUR PONTAIS,35130,false,,2,,,,,,,,,,,,
PIMMS Médiation Rennes,1371,true,35238,47 avenue des pays Bas,35200,false,,1,,,,,,,,,,,,
Contrat Territoire Lecture Inclusion Numérique,1372,true,22278,5 RUE DU 71EME RI,22000,false,,3,,,,,,,,,,,,
CCAS de Saint-Quay-Portrieux,1373,true,22232,52 BD FOCH,22410,false,,1,,,,,,,,,,,,
Secrétariat général départemental commun du Finistère,1374,true,29232,42 BD DUPLEIX,29000,false,Finistère,4,2,4,,,,,,,,4,,
Accès au Droit Nord Morbihan,1376,true,56178,2 PL BISSON,56300,false,,4,,,,,,,,,,,,
CCAS de Saint Brieuc - coordination personnes âgées,1377,true,22278,6 Bis rue Maréchal Foch,22000,false,Saint Brieuc,4,,,,,,,,,,,,
France Services CHATILLON-EN-VENDELAIS,1378,true,35214,3 PL DE L'EGLISE,35210,true,CHATILLON-EN-VENDELAIS,1,,,,,,,,,,,,
Etudes et Chantiers Bretagne Pays de la Loire,1379,true,35353,1 ALL DE L'ENCLOS,35132,false,,1,,,,,,,,,,,,
Centre socioculturel L'Agora,1381,true,29069,79 RUE CHARLES DE GAULLE,29820,false,GUILERS,2,,,,,,,,,,,,
Maison de l'emploi Espace France Services - Guéméné-Penfao,1382,true,44067,1 place de l'église,44290,true,Guémené-Penfao,2,,,,,,,,,,,,
Syndicat Anjou Numérique,1383,true,49007,9 RTE DE LA CONFLUENCE BEUZON,49000,false,,1,,,,,,,,,,,,
Centre d'animation sociale France Services,1384,true,49201,2 rue de lorraine,49250,true,BEAUFORT EN ANJOU,3,,,,,,,,,,,,
Pôle de vie des Quartiers Nord-est / Point Info 14 / France Service Pierre-Heuzé,1385,true,14118,"15, place Champlain",14000,false,,3,,,,,,,,,,,,
