Name,ID,Is Active,City Insee Code,Address,Zip Code,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
BetaGouv,1,true,75107,"20 Avenue de Ségur, 75007 Paris",75007,false,,22,9,53,6,2,3,,20,14,3,5,,
Blueconfig,2,true,64421,2 AVENUE DES FONTAINES,64680,false,OGEU-LES-BAINS,5,5,20,14,,,,,,5,,1,
La Palette - Le Panel des possibles,3,false,23244,"9 place de la Poste 
23800 Dun Le Palestel",23800,false,Dun Le Palestel,3,,,,,,,,,,,,
Net SOLIDAIRE,4,false,17300,"14 bis avenue des grandes Varennes 
17000 La Rochelle",17000,false,La Rochelle,4,,,,,,,,,,,,
Médiathèque Simone de Beauvoir,5,true,26281,rue Sabaton,26100,false,ROMANS SUR ISERE,5,1,,,,,,,,,,,
PIMMS Blois,6,true,42218,11 place René Coty 42000 Blois,42000,false,Blois,6,1,,,,,,,,,,,
Conseil Départemental d'Eure-et-Loir,7,true,28085,1 place Châtelet 28028 Chartres Cedex,28000,false,Chartres,4,70,337,52,,25,,,14,86,,111,49
CCAS d'Anglet,8,false,64024,"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex",64600,false,Anglet,2,,,,,,,,,,,,
La Fabrique Citoyenne,9,true,33167,"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac",33270,false,Floirac,7,485,2254,556,104,321,12,7,164,521,313,67,189
Mairie de Préguillac,10,false,17444,"7 Rue de Perjus, 17460 Préguillac",17460,false,Préguillac,0,,,,,,,,,,,,
Mairie de Rioux,11,false,17444,"12 Place de la Mairie, 17460 Rioux",17460,false,Rioux,1,,,,,,,,,,,,
Association des centres sociaux de Douai,12,true,59178,68 rue Charles Monsarrat,59500,false,DOUAI,3,,,,,,,,,,,,
Le Faitout Connecté,13,true,02676,2 Bis Route de Montaigu,02820,false,Saint-Erme-Outre-et-Ramecourt,6,762,5148,928,,473,5,1,468,1010,571,1684,8
France Service Chalonnes-sur-Loire,14,true,49063,4 rue des poilus,49290,false,Chalonnes-Sur-Loire,3,,,,,,,,,,,,
"Maison France Service , Vic-sur-seille",15,true,57448,22 place Philipe Leroy,57630,false,Vic-sur-seille,0,,,,,,,,,,,,
France Service Ligny-en-Barrois,16,true,55374,12/14 rue des Etats-Unis,55500,false,Ligny-en-Barrois,1,2,,,,,,,,,,,
Maison des solidarités de Castanet,17,true,31113,68 Avenue du Lauragais,31320,false,Castanet-Tolosan,5,1,1,1,,,,,,,,,
Mon Assistant Numérique cambrésis,18,true,59122,105 rue de crevecoeur,59400,false,CAMBRAI,1,1,,,,,,,,,,,
Foyer des jeunes travailleurs de Saint-Amand-Montrond,19,true,18197,34-36 rue de la Brasserie,18200,false,Saint-Amand-Montrond,3,26,115,37,,,,,,24,1,51,2
ASOFT,20,true,26220,"29 rue Draye de Meyne, 26110, NYONS",26110,false,Nyons,5,16,65,17,,2,,,,19,15,2,10
CCAS de Roanne,21,true,42187,Centre Administratif Paul Pillet - Place de l’Hôtel de Ville,42300,false,ROANNE,2,51,419,149,,11,1,,17,148,,1,92
CCAS Villeneuve Saint-Georges,22,true,94078,9 rue de la Marne,94190,false,VILLENEUVE-SAINT-GEORGES,8,40,792,448,40,198,,,5,61,2,17,21
Espace 2M,23,true,42187,4 Rue Molière 42300,42300,false,Roanne,29,1,,,,,,,,,,,
MAIRIE DE ROMANS SUR ISERE,24,true,26281,Rue du Capitaine Bozambo,26100,false,ROMANS SUR ISERE,9,4,2,,,,,,1,,1,,
France Services Rumilly,25,true,74225,25 rue Charles de Gaulle,74150,true,Rumilly,5,1,2,,,,,,,,2,,
Maison de l'emploi  et de l'Entreprise - MIFE Isère,26,true,38382,4 Avenue du General de Gaulle 38120 Saint-Égrève,38120,false,,3,,,,,,,,,,,,
Espace France Services du Diois,27,true,26113,200 Avenue de la Clairette 26150 Die,26150,true,,5,14,57,3,,4,,,1,16,1,32,
FRANCE SERVICES LOUDEAC,28,true,22136,15 RUE DE MONCONTOUR 22600 LOUDEAC,22600,true,,4,,,,,,,,,,,,
CHOM'ACTIF,29,true,63113,33 Rue de Vertaizon 63000 Clermont-Ferrand,63000,false,,6,,,,,,,,,,,,
Clic' & Ressources,30,true,73236,126 place des tilleuls,73240,false,,4,6,6,,,,,,,1,3,,2
CCAS ST JACQUES DE LA LANDE,31,true,35281,1 Rue François Mitterrand 35136 Saint-Jacques-de-la-Lande,35136,false,,2,,,,,,,,,,,,
We Ker,32,true,35238,7 Rue de la Parcheminerie 35000 Rennes,35000,false,,7,15,33,5,,,,,4,17,,6,1
GRETA VIVA5,33,true,26362,37 Rue Barthélémy de Laffemas 26000 Valence,26000,false,,1,2,4,,,2,,,1,1,,,
Espace France Services du Pays de Landivisiau,34,true,29105,36 rue Clémenceau,29400,true,,3,9,,,,,,,,,,,
Maison France Services Bretagne romantique,35,true,35337,22 Rue des Coteaux 35190 La Chapelle-aux-Filtzméens,35190,true,La Chapelle-aux-Filtzméens,3,,,,,,,,,,,,
LOCH INFO SERVICES,36,true,56260,30 Rue Alfred Kastler 56000 Vannes,56000,false,,2,,,,,,,,,,,,
ADDCAES,37,true,73065,Pl Rene Vair 73000 Chambéry,73000,false,,4,,,,,,,,,,,,
Mon Assistant Numérique - Baie d'Armor,38,true,22278,12 Boulevard de la Commune 22000 Saint-Brieuc,22000,false,Saint-Brieuc,1,,,,,,,,,,,,
Association Les Amis des Bauges,39,true,73081,"47, rue du capitaine de Courson",73630,false,,2,,,,,,,,,,,,
Association Médico-Sociale Anne Morgan (AMSAM),40,true,02722,31 Rue Anne Morgan 02200 Soissons,02200,false,,11,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""Le Bon Coin""",41,true,02722,31 Rue Anne Morgan,02200,false,Soissons,1,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""La Petite Maison""",43,true,02722,31 Rue Anne Morgan 02200 Soissons,02200,false,SOISSONS,1,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""Le Clovis""",44,true,02722,31 Rue Anne Morgan,02200,false,Soissons,1,,,,,,,,,,,,
FRANCE SERVICES DE SOLRE-LE-CHATEAU,45,true,59572,19 GRAND RUE,59740,true,,3,50,279,4,,4,,,3,25,52,186,5
ESAT les Ateliers de la Lys,46,true,59143,139 Rue Leon Beauchamp 59930 La Chapelle-d'Armentières,59930,false,,10,2,1,1,,,,,,,,,
CCAS DU NOUVION EN THIERACHE,47,true,02558,25 Rue Théodore Blot,02170,false,Le Nouvion-en-Thiérache,4,14,,,,,,,,,,,
Mon Assistant Numérique,48,true,62204,16 Rue de Buire,62870,false,,1,,,,,,,,,,,,
PIXL GrandSoissons,49,true,02722,58 Bd Jeanne d'Arc,02200,false,,3,,,,,,,,,,,,
CCAS Bailleul,50,true,59043,41 rue d’Ypres,59270,false,Bailleul,5,15,66,7,,5,1,,5,25,,11,12
Mon Assistant Numérique Cotentin,52,true,50402,17 La Rue 50340 Benoîtville,50340,false,,0,,,,,,,,,,,,
PMS Seynod,53,true,74010,51 rue Henri Verjus Seynod,74600,false,,13,2,,,,,,,,,,,
Clic et Vannes,54,true,56260,22 avenue Victor Hugo,56000,false,,1,1,3,,,,,,2,,1,,
Maison France Services Janzé,55,true,35136,Place des Halles,35150,true,Janzé,3,,,,,,,,,,,,
MAN Sud-Gironde - Mon Assistant Numérique,56,true,33060,2 Le Marquis,33210,false,Bommes,1,,,,,,,,,,,,
Mon Assistant Numérique Côte Vendéenne,57,true,85050,5 Rue du Midi 85540 La Jonchère,85540,false,,1,,,,,,,,,,,,
Mon Assistant Numérique Nord Lauragais,58,true,31048,1000 Route de Potié 31450 Montlaur,31450,false,,1,,,,,,,,,,,,
Monassistantnumerique Laval,60,true,53054,15 Rue de la Chartrie 53810 Changé,53810,false,,1,,,,,,,,,,,,
SOLIHA REUNION,61,true,97411,95 b Rue des Deux Canons 97490 Saint-Denis,97490,false,Saint-Denis,4,,,,,,,,,,,,
Médiation Numérique Terre de Picardie,62,true,80474,8 avenue Aristide Briand,80320,false,,2,7,13,,,4,,,2,5,1,1,
MIIR Maison de l'Insertion et de l'INclusion à La Réunion,63,true,97407,48 bis Rue Jeanne-d'Arc 97420 Le Port,97420,false,,7,,,,,,,,,,,,
ADEP - Agence pour le développement des emplois de proximité,65,true,76540,65 Rue Orbe 76000 Rouen,76000,false,,0,,,,,,,,,,,,
CSCS FLEP,66,true,16374,"9 boulevard Léon Blum, 16800 SOYAUX",16800,false,SOYAUX,6,14,13,3,,3,,,,,4,,3
Espace Public Numérique - Ville de Grand-Charmont,68,true,25388,5 rue de Sochaux,25200,false,,3,1,2,1,,,,,1,,,,
Mon Assistant Numérique Le Mans,69,true,72181,52 Boulevard Saint Michel 72000 Le Mans,72000,false,,0,,,,,,,,,,,,
Association Solid'Avenir,70,true,33352,9 Rue Armand Caduc,33190,false,La Réole,2,2,3,,,,,,,1,,2,
COLLECTIF SOCIAL WEB,71,true,64102,4 BIS Esplanade Jouandin,64100,false,,3,2,5,,,,,,,,1,4,
MonAssistantNumérique Pays Basque,72,true,64102,11 impasse Joseph Desarmenien,64100,false,,3,,,,,,,,,,,,
Mairie de Marsilly,73,true,17222,Rue des Ecoles 17137 Marsilly,17137,false,,1,,,,,,,,,,,,
France Services/Points Justice Pecquencourt,74,true,59456,rue de castres  59146 Pecquencourt,59146,true,,2,51,169,2,,7,1,,15,27,46,67,4
UNA CHARENTE VIENNE,75,true,16154,"20, IMPASSE DE LA VALENCEAUDE",16160,false,,5,1,,,,,,,,,,,
Cyber Espaces Marais,76,true,59350,60 rue Victor Hugo - LILLE,59160,false,,4,10,131,11,6,39,,,7,32,20,9,7
Espace France Services Vaugneray,77,true,69255,5 Place du Marché Vaugneray,69670,true,VAUGNERAY,3,,,,,,,,,,,,
France Services du CC des Monts du Lyonnais,78,true,69238,Allee de Pluvy,69590,true,POMEYS,5,2,15,,,,,,,,15,,
Médiathèque Armel-de-Wismes Pornic,79,true,44131,35 rue tartifume 44210 Pornic,44210,false,Pornic,3,,,,,,,,,,,,
"VIRGINIE MICHELLE DEHUYSSER (MICRO-ENTREPRISE DOTEE DE L'AGREMENT SERVICE A LA PERSONNE, SAP)",80,true,68318,12 Rue des Prêtres 68570 Soultzmatt,68570,false,,0,,,,,,,,,,,,
patrick brenot,81,true,21390,18 avenue gaston roupnel,21160,false,,1,,,,,,,,,,,,
Association Objectif Emploi,82,true,14118,avenue Capitaine Georges Guynemer,14000,false,,0,,,,,,,,,,,,
Centre Social de Bagatelle,83,true,33522,201 Rue Robespierre 33400 Talence,33400,false,Talence,5,,,,,,,,,,,,
Programme d'Insertion et d'Orientation Sociale,84,true,13208,31 BOULEVARD JOSEPH VERNET,13008,false,Marseille,11,15,62,2,,21,,,2,17,,15,5
Sophia Loisirs et Vie,85,true,06152,Rue de la Vigne Haute 06560 Valbonne,06560,false,Valbonne,7,3,6,,,,,,,,6,,
Communauté de communes du Pays de Pontchâteau/Saint-Gildas-des-Bois,87,true,44129,2 Rue des Châtaigniers 44160 Pontchâteau,44160,false,,5,,,,,,,,,,,,
Service Pénitentiaire D'Insertion et de Probation d'Indre-et-Loire,88,true,37261,2 Rue Albert Dennery 37000 Tours,37000,false,,0,,,,,,,,,,,,
Maison d'arrêt de DIJON,89,true,21231,72 bis rue d'Auxonne,21000,false,,0,,,,,,,,,,,,
Equipe inclusion numérique,90,true,38490,1 Avenue Roland Garros 38590 Saint-Étienne-de-Saint-Geoirs,38590,false,,2,118,12,6,,,,,4,,1,,1
A Lundi,91,true,40312,Rue Hélène Boucher 40220 Tarnos,40220,false,,3,,,,,,,,,,,,
Mairie de Crolles,92,true,38140,Place de la Mairie 38920 Crolles,38920,false,,2,,,,,,,,,,,,
Site Roanne Saint-Clair,95,true,42187,28 bis rue du Mayollet,42300,false,,1,,,,,,,,,,,,
SITE ROANNE PARC,96,true,42187,25 RUE CONDORCET42300 Roanne,42300,false,,2,3,2,,,,1,,,1,,,
Association des Jeunes Majeurs en Dynamique,98,true,97412,354 Rue Raphaël Babet 97480 Saint-Joseph,97480,false,,4,156,883,202,,355,1,,3,72,,39,211
Maison de l'Emploi du Nord de La Réunion,99,true,97411,"12, Rue Champ Fleuri 97490 Saint-Denis",97490,false,Saint-Denis,6,1,1,,,1,,,,,,,
"Mairie de Saint-Paul,  Pôle Citoyenneté et de la Vie Locale - Direction de la Proximité et de la Politique de la Ville",100,true,97415,Place du General de Gaulle 97460 Saint-Paul,97460,false,Saint-Paul,45,411,371,135,1,48,3,1,13,86,14,57,13
France Services (CC PAYS DE CHATEAUGIRON COMMUNAUTE),101,true,35069,16 Rue de Rennes 35410 Châteaugiron,35410,true,Châteaugiron,2,40,603,,,3,,,,33,32,535,
EMERGENCE-OI,103,true,97416,43f rue du four a chaux - App 29,97410,false,SAINT-PIERRE,13,16,15,1,,,,,1,3,3,6,1
COMMUNE DE SAINT-JOSEPH,104,true,97412,Rue Raphaël Babet 97480 Saint-Joseph,97480,false,Saint-Joseph,7,758,2636,1659,7,76,4,8,28,709,12,114,19
Mairie du Coteau,105,true,42071,Parc Bécot,42120,false,,5,,,,,,,,,,,,
ASSOCIATION MAHORAISE DE MEDIATION NUMERIQUE (MEDNUM MAYOTTE),106,true,97616,10 RUE DU COMMERCE BP 321 MAMOUDZOU CEDEX,97640,false,,5,,,,,,,,,,,,
Centre Communal d'Action Sociale de Saint Nicolas-lez-Arras,107,true,62764,Place Jean Jaurès 62223 Saint-Nicolas,62223,false,,3,,,,,,,,,,,,
FRANCE SERVICES VEYLE,108,true,01306,10 Rue de la Poste 01290 Pont-de-Veyle,01290,true,Pont-de-Veyle,3,,,,,,,,,,,,
UTAS LA FERE,109,true,02165,Place de l'Europe,02800,false,,30,18,52,7,,,,,1,4,,39,1
JARDIN DE COCAGNE DE LA HAUTE BORNE,110,true,59009,"150, avenue Harrison",59650,false,,1,,,,,,,,,,,,
C.C.A.S de Chantilly,111,true,60141,11 Avenue du Maréchal Joffre 60500 Chantilly,60500,false,,2,,,,,,,,,,,,
Médiathèque Jean Macé,112,true,02168,"14, rue Jean de La Fontaine",02400,false,Château-thierry,11,,,,,,,,,,,,
Centre social de Chevreux,113,true,02722,21 avenue Salvador Allende,02200,false,Soissons,1,,,,,,,,,,,,
Centre Social de Presles,114,true,02722,17 avenue Robert Schuman,02200,false,Soissons,0,,,,,,,,,,,,
Centre Social Saint Crépin,115,true,02722,10 Bd Jean Mermoz,02200,false,Soissons,3,,,,,,,,,,,,
Centre Social Saint Waast,116,true,02722,12 rue du Belvédère,02200,false,Soissons,0,,,,,,,,,,,,
Espace France Services de la sous-préfecture de Vervins,117,true,02789,Rue Raoul de Coucy,02140,true,Vervins,2,17,,,,,,,,,,,
"Centre socio-culturel ""Le Nautilus""",118,true,62160,4 rue du Détroit,62200,false,,3,2,10,,,,,,,,10,,
UTAS de Thiérache - Site de Guise,119,true,02361,"128, Rue du Curoir 02120 GUISE",02120,false,,16,1,,,,,,,,,,,
France Services Pays d'Opale,121,true,62397,9 avenue de la libération,62340,true,,1,2,1,,,1,,,,,,,
UTAS Thiérache - Site d'Hirson,122,true,02408,2 Rue Paul Doumer 02000 Laon,02000,false,,19,2,,,,,,,,,,,
ccas halluin,123,true,59279,40 Rue Marthe Nollet 59250 Halluin,59250,false,,6,11,23,21,1,,,,,,,1,
MonAssistantNumérique Lille Métropole,124,true,59378,115 bis rue du docteur Charcot,59700,false,,1,,,,,,,,,,,,
CCAS d'Armentières,125,true,59017,57 Rue Paul Bert 59280 Armentières,59280,false,,11,17,38,2,,24,,,4,2,,,6
FRANCE SERVICES LA POSTE CRECY-SUR-SERRE,126,true,02237,1 RUE DES TELLIERS,02270,true,CRECY-SUR-SERRE,2,4,,,,,,,,,,,
Centre Social et Culturel Guy Môquet,128,true,59033,place du 8 mai 1945 - 59620 Aulnoye-Aymeries,59620,false,,4,,,,,,,,,,,,
CCAS WASQUEHAL,129,true,59646,4 Rue Michelet 59290 Wasquehal,59290,false,,4,2,2,1,,,,,,1,,,
CCAS de Tourcoing Action Sociale,130,true,59599,26 Rue de la Bienfaisance 59200 Tourcoing,59200,false,,4,,,,,,,,,,,,
CCAS RETIERS,131,true,35165,19 Rue Georges Clemenceau 35240 Retiers,35240,false,,1,,,,,,,,,,,,
iLOZ - MAISON DE SERVICES ET DE L'EMPLOI,132,true,35219,36 Rue de l'Avenir,35550,false,Pipriac,3,,,,,,,,,,,,
Mon Assistant Numérique Pays de Brest,133,true,29075,10 Rue des Ajoncs d'Or 29490 Guipavas,29490,false,,1,,,,,,,,,,,,
UDAF de la Loire - Saint-Etienne,134,true,42218,7 Rue Etienne Dolet 42000 Saint-Étienne,42000,false,Saint-Etienne,40,5,5,,,1,,,,1,,,3
CCAS CESSY,135,true,01173,350 Rue de la Mairie 01170 Cessy,01170,false,,3,,,,,,,,,,,,
Association ECLAT,136,true,01248,290 Allee des Sports 01390 Saint-André-de-Corcy,01390,false,,2,22,173,,,10,,,20,26,24,66,27
CCAS DE SAINT ANDRE DE CORCY,137,true,01333,SQUARE CLAUDIUS BARDET,01390,false,Saint-André-de-Corcy,2,3,,,,,,,,,,,
FRANCE SERVICES SAINT TRIVIER DE COURTES,138,true,01388,22 ESPLANADE DE LA POSTE,01560,true,SAINT TRIVIER DE COURTES,2,1,3,,,,,,,2,,1,
Passerelle,139,true,69383,6 Rue Frédéric Mistral 69003 Lyon,69003,false,,7,38,176,24,,10,,,2,19,3,112,6
MAIRIE DE CALUIRE ET CUIRE,140,true,69034,Place du Docteur Frédéric Dugoujon 69300 Caluire-et-Cuire,69300,false,,0,,,,,,,,,,,,
Médiathèque Bernard Pivot (Caluire et Cuire),142,false,69034,Place du Docteur Frédéric Dugoujon 69300 Caluire-et-Cuire,69300,false,,3,,,,,,,,,,,,
Association pour le développement local - Villeurbanne,143,true,69266,13 Rue Docteur Ollier,69100,false,Villeurbanne,9,12,11,2,1,2,3,,1,,2,,
Mairie de Plouasne,144,true,22208,Place de l'Eglise 22830 Plouasne,22830,false,,3,6,25,9,,1,,,1,,,12,2
Espace France Services (Communauté de Communes de Saint-Méen Montauban),145,true,35320,22 rue de Gael,35360,true,Saint Méen le Grand,3,4,7,,,,,,4,,,3,
Maison France Services de Saint-Aubin-du-Cormier,147,true,35253,3 rue de la Libération – 35140 Saint-Aubin-du-Cormier,35140,true,,2,,,,,,,,,,,,
Commune de BOHAL,148,true,56124,Allee des Acacias 56140 Bohal,56140,false,,1,1,1,,,,,,1,,,,
Mon Assistant Numérique Vannes,149,true,56247,9 Residence de Kerprat 56250 Saint-Nolff,56250,false,,1,,,,,,,,,,,,
ASSOCIATION RUN ACTION,150,true,97411,"21 RUE GEORGES POMPIDOU, ALLEE DU ZOO, LE CHAUDRON",97490,false,,4,,,,,,,,,,,,
FAMILLES RURALES FEDERATION DE LA REUNION,151,true,97403,"110 bis Rue Defaud

Autre adresse :
Mr DIJOUX René Claude 
Président 
24 bis impasse Joseph Bédier 97430 le tampon",97414,false,Entre-Deux,2,,,,,,,,,,,,
COMMUNE DU TAMPON (COHESION SOCIALE),152,true,97422,137 AVENUE DE L'EUROPE,97430,false,LE TAMPON,5,5,6,,,2,,,,,,4,
Espace Numérique Sud Charente,153,true,16230,3 Avenue Henri Dunant 16190 Montmoreau,16190,false,,7,3,8,2,,,,,,,,,6
atelier graphite,154,true,33063,157 Cours Balguerie Stuttenberg 33300 Bordeaux,33300,false,,5,,,,,,,,,,,,
Simple Comme Sarah,155,true,17300,Rue Saint-marsault 17000 La Rochelle,17000,false,,1,,,,,,,,,,,,
Centre social et culturel Christiane Faure,156,true,17300,41 Rue Thiers,17000,false,,3,,,,,,,,,,,,
CCAS DE POITIERS,157,true,86194,45 Rue de la Marne 86000 Poitiers,86000,false,,22,,,,,,,,,,,,
Espace de vie sociale Diapason du vic-bilh,158,true,64394,23 Rue des Pelhans 64350 Lembeye,64350,false,,3,2,,,,,,,,,,,
Centre Alexis Peyret,159,true,64519,2 Rue Aristide Finco 64121 Serres-Castet,64121,false,Serres-Castet,3,35,79,12,,11,,,4,13,3,4,32
CCAS CENON,160,true,33119,1 Avenue Carnot 33150 Cenon,33150,false,,11,,,,,,,,,,,,
"Mission Locale de l'Agenais, de l'Albret et du Confluent",161,true,47001,70 Boulevard Sylvain Dumon 47000 Agen,47000,false,,21,,,,,,,,,,,,
CCAS OLORON SAINTE MARIE,162,true,64422,Place Georges Clemenceau 64400 Oloron-Sainte-Marie,64400,false,,4,11,2,,,1,,,,1,,,
La MedNum,163,true,75102,Liberté Living Lab - 9 rue d'Alexandrie 75002 Paris.,75002,false,,0,,,,,,,,,,,,
France Services CCVO Ribemont,164,true,02648,12 place du château,02240,true,Ribemont,1,1,1,,,,,,1,,,,
Maison des Solidarités de Beaumont,165,true,63032,30 CHEMIN DU MAS,63110,false,BEAUMONT,16,3,8,,,1,,,3,,,4,
Régie de Territoire des 2 Rives,166,true,63216,"Boulevard de la Porte Neuve, COUR DE VALMY
63160 BILLOM",63160,false,Billom,7,11,21,13,,,,,,3,1,3,1
MDS/FRANCE SERVICES ROCHEFORT MONTAGNE,167,true,63264,12 ROUTE DE BORDAS,63210,true,,5,7,1,,,,,,,,,1,
M@n Mon Assistant Numérique Limagne Volcans,168,true,63001,1 Chemin de la Matre - Tressat 63260 Chaptuzat,63260,false,Chaptuzat,1,,,,,,,,,,,,
Maison des Solidarités de Thiers,169,true,63430,20 rue des Docteurs Dumas,63300,false,,25,,,,,,,,,,,,
Maison des Solidarités de Chamalières CD63,170,false,63075,1 rue d'Assas,63400,false,,8,2,4,,,,,,2,,,2,
France Services de Cormicy,171,true,51171,5 Place d'Armes 51220 Cormicy,51220,true,Cormicy,2,8,19,6,,,,,1,,,11,1
L.A Plateforme SCIC,172,true,97415,Le Guillaume 97460 Saint-Paul,97460,false,,3,,,,,,,,,,,,
"AGAME, insertion par l'informatique",173,true,97408,198 Chemin Departemental 41 97419 La Possession,97419,false,,7,,,,,,,,,,,,
CCAS Thorigné Fouillard,174,true,35334,Esplanade des Droits de l'Homme,35235,false,,3,,,,,,,,,,,,
Camping-car France-Services MSA/CCKB,175,true,22266,6 Rue Joseph Pennec 22110 Rostrenen,22110,false,,5,,,,,,,,,,,,
Médiathèque Ménouvel,176,true,35152,20 rue Jean-Marie Pavy 35340 La Bouëxière,35340,false,,1,,,,,,,,,,,,
centre social de l'Olivier,178,true,69290,30 Rue Maréchal Leclerc 69800 Saint-Priest,69800,false,,5,,,,,,,,,,,,
Le Forum,179,true,26289,13 Rue Raoul Lambert 26340 Saillans,26340,false,Saillans,2,4,1,1,,,,,,,,,
Pôle Médico-Social Balmettes,180,true,74010,1-3 avenue Lucien Boschetti - ANNECY,74000,false,,8,,,,,,,,,,,,
Pôle médico-social de Novel Plaine,181,true,74010,Rue de l’École normale ANNECY,74000,false,,11,,,,,,,,,,,,
PMS de Périphérie et Vallées,182,true,74010,Non renseigné,74000,false,,4,,,,,,,,,,,,
Pôle Médico-Social des Voirons,183,true,74012,"7 Bis Place Porte Bonheur,",74100,false,,11,,,,,,,,,,,,
Pôle Médico-Social d'ANNEMASSE,184,true,74012,"19 Avenue Emile Zola ANNEMASSE

Autre adresse :
DET Du Genevois 
2, bis Léon Bourgeois
74100 VILLE-LA-GRAND",74100,false,VILLE-LA-GRAND,16,,,,,,,,,,,,
PMS de Douvaine,185,true,74263,"Le Richelieu, 8, rue du Bourg Neuf",74140,false,,7,5,10,,,4,,,,6,,,
POLE MEDICO-SOCIAL DE BONNEVILLE,186,true,74042,50 RUE SAINTE-CATHERINE BONNEVILLE,74130,false,,9,,,,,,,,,,,,
Pôle Medico-social de Rumilly,187,true,74225,16 avenue Edouard André,74150,false,,10,,,,,,,,,,,,
POLE MEDICO-SOCIAL  DE PASSY/SAINT GERVAIS,188,true,74208,176 AVENUE DE MARLIOZ,74190,false,,3,,,,,,,,,,,,
PMS THONON OUEST,189,true,74005,"2,Avenue du vernay",74200,false,,8,1,2,,,,,,,2,,,
Mairie de Plumaudan - Espace Cybercommune,190,true,22032,Rue Cassiopée,22350,false,,2,,,,,,,,,,,,
PMS d'Evian,191,true,74005,"26, avenue des sources",74200,false,,8,7,26,1,,17,,,1,3,,3,1
Espace France Services de la Communauté de Communes Côte d'Emeraude,192,true,35228,1 Esplanade des Equipages 35730 Pleurtuit,35730,true,,3,1,2,,,,,,,,1,1,
PMS THONON EST,193,true,74005,81 Avenue d'Evian,74200,false,THONON-LES-BAINS,12,,,,,,,,,,,,
Pôle Médico-Social FAVERGES,194,true,74072,"30, route d'Albertville - FAVERGES",74210,false,,7,,,,,,,,,,,,
CCAS de Dunkerque - service Insertion socio-professionnelle,195,true,59183,30 Rue du Chateau 59140 Dunkerque,59140,false,,1,,,,,,,,,,,,
FRANCE SERVICES PLOUHA,196,true,22222,15 avenue Laennec 22580 Plouha,22580,true,Plouha,3,1,,,,,,,,,,,
PIMMS PORTES DE PROVENCE,197,true,26116,130 Avenue de la Gare 26290 Donzère,26290,false,,12,87,30,,,,,,,7,8,11,4
CCAS Dunkerque - Antenne de Dunkerque centre,198,true,59183,Ruelle aux pommes,59140,false,,8,,,,,,,,,,,,
CCAS Dunkerque - Antenne de Jeu de mail / Petite-Synthe,199,true,59183,3 - 5 rue du Jeu de Mail,59140,false,,11,1,,,,,,,,,,,
FRANCE SERVICES LE MENE,200,true,22046,24 La Croix de Jeanne Even 22330 Le Mené BP3,22330,true,,1,,,,,,,,,,,,
Familles Rurales - Fédération des Côtes d'Armor,201,true,22278,21 Boulevard Clemenceau,22000,false,Saint-Brieuc,5,,,,,,,,,,,,
Maison France Services de Romillé,202,true,35216,Place des Frères Aubert 35850 Romillé,35850,true,,3,,,,,,,,,,,,
Pôle médico-social de Thônes,203,true,74160,4 Rue du Pré de Foire THONES,74230,false,,3,,,,,,,,,,,,
APIJE Étang de Thau,204,true,34301,3 Place Delille 34200 Sète,34200,false,,0,,,,,,,,,,,,
POLE MEDICO-SOCIAL DE CLUSES,205,true,74081,37 A RUE DU DR JACQUES ARNAUD,74300,false,,13,5,44,1,,19,,,,17,,3,4
POLE MEDICO-SOCIAL  DE CHAMONIX,206,true,74056,286 RUE DU LYRET,74400,false,,5,1,,,,,,,,,,,
POLE MEDICO-SOCIAL DE TANINGES,207,true,74276,1 BIS CHARTREUSE DE MELAN TANINGES,74440,false,,4,,,,,,,,,,,,
POLE MEDICO-SOCIAL DE SALLANCHES,208,true,74256,118 RUE GUER,74700,false,,8,9,54,,,10,,,1,24,,17,2
POLE MEDICO-SOCIAL DE LA ROCHE SUR FORON,210,true,74224,65 FAUBOURG SAINT-BERNARD,74800,false,LA ROCHE SUR FORON,5,,,,,,,,,,,,
Pôle médico-social d'Annecy Le Vieux,211,true,74010,35 rue de Verdun ANNECY,74940,false,,6,,,,,,,,,,,,
Pôle médico-social de St Julien en Genevois,212,true,74243,3 rue du jura,74160,false,,10,,,,,,,,,,,,
Pôle médico-social de Reignier,213,true,74220,391 grande rue,74930,false,,6,12,37,2,,12,,,,13,,9,1
POLE MEDICO-SOCIAL DE SCIONZIER,214,true,74264,2 PLACE DU FORON,74950,false,,6,3,2,2,,,,,,,,,
PMS Cran-Gevrier,215,true,74010,1 passage des Halles Cran-Gevrier,74960,false,,6,,,,,,,,,,,,
