Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
Réseau des bibliothèques de Nancy,3065,b8c32c50-f308-4d1b-9056-7d8b95701229,true,54395,10 rue Baron Louis,54000,21540395700743.0,false,Nancy,3,3,2,,,,,,,,2,,
Reconstruire Ensemble,3066,e8154207-9880-4c70-ab58-b20fde74dda1,false,28229,2 AV DE BRETAGNE,28300,43259239200026.0,false,Mainvilliers,5,,,,,,,,,,,,
ANERVEDEL,3067,29904065-5cb0-4d6e-bcd8-8ea72d7c859d,true,28218,13 RUE DES TOURNEBALLETS,28110,38078721800060.0,false,Luce,1,3,7,2,,4,,,,,,,1
Espace de Vie Sociale O'Quai 16 Rochepinard,3068,892012ee-bcc2-45b7-beb6-1fd73dc671f3,true,37261,16 jardin bouzignac,37000,77534862600026.0,false,Tours,6,,,,,,,,,,,,
Maison pour Tous Centre Social des Fontaines,3069,a0eaeb7b-406d-4611-9054-0154b4f5432c,true,37261,11 rue de Saussure,37200,77534862600026.0,false,Tours,4,,,,,,,,,,,,
Mairie de BREZOLLES,3070,a7c0a179-65de-46e4-85d1-b160153f4272,true,28059,1 RUE NOTRE DAME,28270,21280059300015.0,false,Brezolles,1,,,,,,,,,,,,
France Services Lignières en Berry,3071,919418eb-021a-4d7f-90a1-1357bd0e08e2,true,18127,2 Rue de la fonderie,18160,21180127900012.0,true,Lignieres,3,15,4,,,4,,,,,,,
Ville de Wingles,3072,0b3d197e-c9ce-4532-b0f1-75e384271edf,true,62895,26 RUE JULES GUESDE,62410,21620895900017.0,false,Wingles,2,,,,,,,,,,,,
FRANCE SERVICES WALLERS-ARENBERG,3073,7781e9eb-6f04-49a0-8242-629504966e9f,true,59632,Rue Michel RONDET,59135,21590632200015.0,true,Wallers,0,,,,,,,,,,,,
FRANCE SERVICES WERVICQ-SUD,3074,93817b3c-c25d-450f-ae60-162233b855b1,true,59656,19 PL DE L EUROPE,59117,35600000033988.0,true,Wervicq Sud,2,,,,,,,,,,,,
France Services Dunkerque Petite Synthe,3076,807f773b-29ff-4528-aeb6-012270716306,true,59183,3393 AV DE PETITE SYNTHE,59640,35600000033884.0,true,Dunkerque,2,,,,,,,,,,,,
Association LOU MERCAT,3077,9295f172-d4d8-4a44-b117-ad733e10b1a1,true,81099,1 AV DU MARECHAL JUIN,81600,50093359300021.0,false,Gaillac,3,,,,,,,,,,,,
mairie de saint-martory,3078,63070577-dac9-45c6-80b6-c5f76ecfdd00,true,31314,122 avenue Norbert Casteret,31360,21310503400010.0,false,Mancioux,1,,,,,,,,,,,,
CCAS Narbonne,3079,c775abd5-3e25-4205-a57b-7b77203e9aa3,true,11262,29 RUE MAZZINI,11100,26110023400127.0,false,Narbonne,5,,,,,,,,,,,,
France Services de Nogaro,3080,732196f4-8195-474d-b372-ef54ebe88f2a,true,32296,8 Avenue Cassou de Herre,32110,24320040900031.0,true,Nogaro,2,123,615,34,2,65,1,1,80,263,105,8,56
Conseil Départemental du Val-d'Oise - SSD,3081,e6dea8bb-f7a8-4e7c-b9e5-96904bde75fb,true,95127,2 Avenue de la Palette,95032,22950127500015.0,false,Cergy-Pontoise,11,13,42,5,,4,,,1,21,1,,10
DECLICS,3082,41c7212f-e130-40ff-ba3c-fc4b21392ea2,true,16015,"67, boulevard Besson Bey - Appartement 321",16000,35344506700021.0,false,Angouleme,3,1,,,,,,,,,,,
"Médiathèque ""La mine des mots""",3083,3d3ba915-ca8a-4263-ab74-d67410a93448,true,13110,avenue René Cassin,13530,21130110600012.0,false,Trets,2,,,,,,,,,,,,
