Name,ID,UUID,Is Active,City Insee Code,Address,Zip Code,Siret,France Services Label,City,Nombre d'aidants,Question 110 → Nombre D'usagers Uniques,Question 109 → Nombre De Demarche Par Structure,Question 99 → Nombre Demarche Argent,Question 107 → Nombre Demarche Etranger,Question 103 → Nombre Demarche Famille,Question 106 → Nombre Demarche Justice,Question 108 → Nombre Demarche Loisirs,Question 102 → Nombre Demarche Papier,Question 104 → Nombre Demarche Social,Question 105 → Nombre Demarche Transport,Question 113 → Nombre Demarche Travail,Question 114 → Nombre Demarche Logement
BetaGouv,1,76813e41-71c9-4696-b743-ba2e44ba5f8b,true,75107,"20 Avenue de Ségur, 75007 Paris",75007,13002603200016.0,false,Paris,22,9,53,6,2,3,,20,14,3,5,,
Blueconfig - Le fourgon Connecté,2,3ee93aa1-6d3b-484a-8e72-a07a348d71a5,true,64421,2 AVENUE DES FONTAINES,64680,82821337100028.0,false,Ogeu-Les-Bains,5,5,20,14,,,,,,5,,1,
La Palette - Le Panel des possibles,3,fedf6e6e-5f40-4369-8be3-2c7bf429dae6,false,23244,"9 place de la Poste 
23800 Dun Le Palestel",23800,42189774500020.0,false,Dun Le Palestel,3,,,,,,,,,,,,
Net SOLIDAIRE,4,ae9de3ba-7b3d-424a-a4f0-c65d5806c013,false,17300,"14 bis avenue des grandes Varennes 
17000 La Rochelle",17000,0.0,false,La Rochelle,4,,,,,,,,,,,,
Médiathèque Simone de Beauvoir,5,60d69d93-fd21-4e99-ac5a-6caf26bdb797,true,26281,rue Sabaton,26100,20006878100166.0,false,Romans Sur Isere,5,1,,,,,,,,,,,
PIMMS Blois,6,29481202-b7ba-4365-b868-92fcba2c2b58,true,42218,11 place René Coty 42000 Blois,42000,42410964300066.0,false,Blois,6,1,,,,,,,,,,,
Conseil Départemental d'Eure-et-Loir,7,4f980d6f-6c03-4a4d-8147-89d8c00543cb,true,28085,1 place Châtelet 28028 Chartres Cedex,28000,22280001300013.0,false,Chartres,4,72,342,53,,25,,,14,88,,113,49
CCAS d'Anglet,8,e3060b5b-b682-49be-957a-10860f63dc75,false,64024,"Hôtel de ville 
Rue Amédée Dufourg 
BP 303 
64603 Anglet Cedex",64600,26640023300018.0,false,Anglet,2,,,,,,,,,,,,
La Fabrique Citoyenne,9,fa5d19a6-0797-417a-ab11-5309435a0cc5,true,33167,"Hôtel de Ville 
6 avenue Pasteur
33270 Floirac",33270,21330167400015.0,false,Floirac,7,539,2637,721,160,378,12,7,177,561,350,71,200
Mairie de Préguillac,10,8abc9014-e955-4900-a5d0-e370d0e7ae5d,false,17444,"7 Rue de Perjus, 17460 Préguillac",17460,21170289900017.0,false,Préguillac,0,,,,,,,,,,,,
Mairie de Rioux,11,0190c9ce-32fd-4056-b3a6-4ddb464e1ce2,false,17444,"12 Place de la Mairie, 17460 Rioux",17460,21170298000015.0,false,Rioux,1,,,,,,,,,,,,
Association des centres sociaux de Douai,12,55cf519d-3717-4e86-9fdf-bbf00ce25351,true,59178,68 rue Charles Monsarrat,59500,40224571600095.0,false,Douai,3,,,,,,,,,,,,
Le Faitout Connecté,13,47bb258d-adbc-4b00-a707-62b47f33e6f2,true,02676,2 Bis Route de Montaigu,02820,0.0,true,Saint-Erme-Outre-Et-Ramecourt,6,795,5475,940,,779,5,1,472,1011,571,1688,8
France Service Chalonnes-sur-Loire,14,65023bfe-7ce8-48bb-b446-0e27ebbb54a7,true,49063,4 rue des poilus,49290,26490189300042.0,true,Chalonnes-Sur-Loire,3,,,,,,,,,,,,
"Maison France Service , Vic-sur-seille",15,53564590-4612-4df2-a3c7-21037bb12218,true,57448,22 place Philipe Leroy,57630,21570712600011.0,true,Vic-Sur-Seille,0,,,,,,,,,,,,
France Service Ligny-en-Barrois,16,4bb681ec-94a8-4ce8-8ff3-18097306091b,true,55374,12/14 rue des Etats-Unis,55500,37962415800026.0,true,Ligny-En-Barrois,1,2,,,,,,,,,,,
Maison des solidarités de Castanet,17,6515d81d-f148-4424-8d4e-e5edf7ae0eef,true,31113,68 Avenue du Lauragais,31320,22310001700274.0,false,Castanet-Tolosan,5,1,1,1,,,,,,,,,
Mon Assistant Numérique Cambrésis,18,3008ce56-2aa1-4697-bf3b-a8cd1dfb0212,true,59122,105 rue de crevecoeur,59400,84437860400012.0,false,Cambrai,1,1,,,,,,,,,,,
Foyer des jeunes travailleurs de Saint-Amand-Montrond,19,e6ea4c55-98bb-46fd-a784-9c8a63839d10,true,18197,34-36 rue de la Brasserie,18200,77505495000016.0,false,Saint-Amand-Montrond,3,26,115,37,,,,,,24,1,51,2
ASOFT,20,bbb2b62d-9c14-4ba2-ab27-92ee2cf576bb,true,26220,"29 rue Draye de Meyne, 26110, NYONS",26110,43752561100012.0,false,Nyons,5,16,77,21,,2,,,1,19,16,3,15
CCAS de Roanne,21,5ccd5e9e-4a1d-44f5-89c7-b144b424c5f3,true,42187,Centre Administratif Paul Pillet - Place de l’Hôtel de Ville,42300,26421024600015.0,false,Roanne,2,56,519,171,,11,1,,22,211,,1,102
CCAS Villeneuve Saint-Georges,22,f2d0ed7e-98c2-43c1-a590-5b4114b00b20,true,94078,9 rue de la Marne,94190,26940045300016.0,false,Villeneuve-Saint-Georges,8,44,902,556,42,198,,,5,61,2,17,21
Espace 2M,23,deb2af24-a8e7-40bd-aa78-6983394edf0d,true,42187,4 Rue Molière 42300,42300,38165459900020.0,false,Roanne,29,1,,,,,,,,,,,
MAIRIE DE ROMANS SUR ISERE,24,0e8c19fc-58d5-4807-83a2-d86a53b394ba,true,26281,Rue du Capitaine Bozambo,26100,21260281700018.0,false,Romans Sur Isere,9,4,2,,,,,,1,,1,,
France Services Rumilly,25,a274d852-4d9b-4878-825d-dbd2bf6c9e36,true,74225,25 rue Charles de Gaulle,74150,21740225400015.0,true,Rumilly,5,1,2,,,,,,,,2,,
Maison de l'emploi  et de l'Entreprise - MIFE Isère,26,aecd207f-68ca-4c26-8786-0655679f131b,true,38382,4 Avenue du General de Gaulle 38120 Saint-Égrève,38120,42378047700026.0,false,St Egreve,3,,,,,,,,,,,,
Espace France Services du Diois,27,5f24c69a-de56-4104-8f36-29c2b3abdb30,true,26113,200 Avenue de la Clairette 26150 Die,26150,19260765300024.0,true,Die,5,15,59,3,,4,,,1,17,1,33,
FRANCE SERVICES LOUDEAC,28,fbc84d62-89c8-489a-bf71-8a8dcc0a24f7,true,22136,15 RUE DE MONCONTOUR 22600 LOUDEAC,22600,20006746000010.0,true,Loudeac,3,,,,,,,,,,,,
CHOM'ACTIF,29,0a47b23b-e0be-43e3-a840-2abf45a6ae81,true,63113,33 Rue de Vertaizon 63000 Clermont-Ferrand,63000,35330044500049.0,false,Clermont Ferrand,6,,,,,,,,,,,,
Clic' & Ressources,30,d18fa4b4-28a6-404a-b352-c7f867f17e17,true,73236,11 rue du 8 mai 1945,73240,24730052800061.0,false,St Genix Les Villages,4,6,6,,,,,,,1,3,,2
CCAS ST JACQUES DE LA LANDE,31,5a716422-a883-4cfc-b9f3-389fd47de77e,true,35281,1 Rue François Mitterrand 35136 Saint-Jacques-de-la-Lande,35136,26350263500018.0,false,St Jacques De La Lande,3,,,,,,,,,,,,
We Ker,32,59de7dca-c085-4f74-ac59-27ba2e214822,true,35238,7 Rue de la Parcheminerie 35000 Rennes,35000,32777310700013.0,false,Rennes,7,16,41,6,,2,,,4,18,,8,3
GRETA VIVA5,33,9c681d70-6ebe-4409-a448-75c8bb0a53c3,true,26362,37 Rue Barthélémy de Laffemas 26000 Valence,26000,20004632400022.0,false,Valence,1,2,4,,,2,,,1,1,,,
Espace France Services du Pays de Landivisiau,34,8f851ccb-83e6-4653-ad4f-470c569d34f8,true,29105,36 rue Clémenceau,29400,24290075100189.0,true,Landivisiau,3,11,,,,,,,,,,,
Maison France Services Bretagne romantique,35,fb5b7bd8-69a2-4bdb-8709-ea4a1ebf337a,true,35337,22 Rue des Coteaux 35190 La Chapelle-aux-Filtzméens,35190,24350073300114.0,true,La Chapelle-Aux-Filtzméens,3,,,,,,,,,,,,
LOCH INFO SERVICES,36,5f872ef2-168f-47d0-a6c5-25281c0763cb,true,56260,30 Rue Alfred Kastler 56000 Vannes,56000,20006793200018.0,false,Vannes,2,,,,,,,,,,,,
ADDCAES,37,20bef87d-038e-44d6-9ffd-8ae390e41d27,true,73065,Pl Rene Vair 73000 Chambéry,73000,32332723900055.0,false,Chambery,4,,,,,,,,,,,,
Mon Assistant Numérique - Baie d'Armor,38,7fdb45c5-0ce6-41fa-bd49-cc2e4fdf1edb,true,22278,12 Boulevard de la Commune 22000 Saint-Brieuc,22000,87879064100012.0,false,Saint-Brieuc,1,,,,,,,,,,,,
Association Les Amis des Bauges,39,6f7b423e-d581-492d-995a-a22e4f95ac36,true,73081,"47, rue du capitaine de Courson",73630,31893292800019.0,false,Le Chatelard,2,,,,,,,,,,,,
Association Médico-Sociale Anne Morgan (AMSAM),40,9b2eb22f-3021-4a79-acbe-84bcab9cf161,true,02722,31 Rue Anne Morgan 02200 Soissons,02200,77554727600193.0,false,Soissons,11,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""Le Bon Coin""",41,612186cc-77b0-438b-8d41-31287ba49139,true,02722,31 Rue Anne Morgan,02200,77554727600193.0,false,Soissons,1,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""La Petite Maison""",43,f18e8b2c-161b-481d-ab64-8d76467cb3d4,true,02722,31 Rue Anne Morgan 02200 Soissons,02200,77554727600193.0,false,Soissons,1,,,,,,,,,,,,
"AMSAM-Centre d'Hébergement d'Urgence ""Le Clovis""",44,40fe05af-933e-40fb-82fe-e386aa759c1c,true,02722,31 Rue Anne Morgan,02200,77554727600193.0,false,Soissons,1,,,,,,,,,,,,
FRANCE SERVICES DE SOLRE-LE-CHATEAU,45,86072882-e3a8-4d5c-8c15-769d1c90816a,true,59572,19 GRAND RUE,59740,13000725500016.0,true,Solre Le Chateau,3,50,279,4,,4,,,3,25,52,186,5
ESAT les Ateliers de la Lys,46,eb58cc17-bff0-4a38-af02-b36e59065cd0,true,59143,139 Rue Leon Beauchamp 59930 La Chapelle-d'Armentières,59930,30457621801147.0,false,La Chapelle D Armentieres,10,2,1,1,,,,,,,,,
CCAS DU NOUVION EN THIERACHE,47,da59740c-f5b1-428f-b4c6-1574fea19646,true,02558,25 Rue Théodore Blot,02170,26020546300029.0,false,Le Nouvion-En-Thiérache,4,19,,,,,,,,,,,
Mon Assistant Numérique,48,03ea4496-ef92-4ae3-90c3-20d4d0d0e424,true,62204,16 Rue de Buire,62870,81490174000013.0,false,Campagne Les Hesdin,1,,,,,,,,,,,,
PIXL GrandSoissons,49,6310c946-d069-4f36-9dec-3399d49b8e53,true,02722,58 Bd Jeanne d'Arc,02200,24020047700026.0,false,Soissons,3,,,,,,,,,,,,
CCAS Bailleul,50,3fcddaf2-3f64-48bd-afc6-70c32cabdf09,true,59043,41 rue d’Ypres,59270,26590043100015.0,false,Bailleul,5,20,98,9,,10,1,,5,41,,17,15
Mon Assistant Numérique Cotentin,52,71c690e2-4d1a-4302-817b-375a5d8d09aa,true,50402,17 La Rue 50340 Benoîtville,50340,85115136500026.0,false,Les Pieux,0,,,,,,,,,,,,
PMS Seynod,53,dffc37d7-8089-4a27-bd2f-8fadcfb0ec71,true,74010,51 rue Henri Verjus Seynod,74600,22740001700074.0,false,Annecy,14,2,,,,,,,,,,,
Clic et Vannes,54,84373e9c-a6fc-404b-b5b1-c999057e7871,true,56260,22 avenue Victor Hugo,56000,21560260800014.0,false,Vannes,1,1,3,,,,,,2,,1,,
Maison France Services Janzé,55,c514013f-4768-4b8f-8185-bcf3e47ef33c,true,35136,Place des Halles,35150,21350136400011.0,true,Janzé,3,,,,,,,,,,,,
MAN Sud-Gironde - Mon Assistant Numérique,56,038b29dc-debd-4e94-8828-ddf5d4e035df,true,33060,2 Le Marquis,33210,88012127200012.0,false,Bommes,1,,,,,,,,,,,,
Mon Assistant Numérique Côte Vendéenne,57,9bf02f3f-0771-46e9-9ce6-11b4a8654c88,true,85050,5 Rue du Midi 85540 La Jonchère,85540,51067404700038.0,false,Le Champ St Pere,1,,,,,,,,,,,,
Mon Assistant Numérique Nord Lauragais,58,775dc697-9b82-42e9-a587-88d226787951,true,31048,1000 Route de Potié 31450 Montlaur,31450,88209300800010.0,false,Baziege,1,,,,,,,,,,,,
Monassistantnumerique Laval,60,454a754b-da08-41db-a4fd-ee173f200c71,true,53054,15 Rue de la Chartrie 53810 Changé,53810,84182435200014.0,false,Change,1,,,,,,,,,,,,
SOLIHA REUNION,61,95b399bc-4e10-4eb7-829a-0e33cb4c996c,true,97411,"1 rue de la Martinique - CS 21066- ZA Foucherolles –

BP 297 97495 STE CLOTILDE CEDEX",97495,31755681900025.0,false,Saint-Denis,4,,,,,,,,,,,,
Médiation Numérique Terre de Picardie,62,8879387a-a7cc-4c97-83a9-5ea0398bd6af,true,80474,8 avenue Aristide Briand,80320,20007092800011.0,false,Licourt,2,8,14,,,4,,,2,6,1,1,
MIIR Maison de l'Insertion et de l'INclusion à La Réunion,63,48d38901-75e0-4e6c-9412-b6b4501bb176,true,97407,48 bis Rue Jeanne-d'Arc 97420 Le Port,97420,89323081300014.0,false,Le Port,7,,,,,,,,,,,,
ADEP - Agence pour le développement des emplois de proximité,65,c5890874-67c7-4a96-a71b-dc1ea2e32469,true,76540,65 Rue Orbe 76000 Rouen,76000,50235251100039.0,false,Rouen,0,,,,,,,,,,,,
CSCS FLEP,66,0e2d47a9-18f4-439e-8866-1fa05efc2186,true,16374,"9 boulevard Léon Blum, 16800 SOYAUX",16800,78125600300034.0,false,Soyaux,6,14,13,3,,3,,,,,4,,3
Espace Public Numérique - Ville de Grand-Charmont,68,ae4d5d59-0b7a-443f-8611-80df111a821e,true,25388,5 rue de Sochaux,25200,21250284300015.0,false,Montbeliard,3,1,2,1,,,,,1,,,,
Mon Assistant Numérique Le Mans,69,4731eacc-e0f3-4a9d-ae04-248da43779a7,true,72181,52 Boulevard Saint Michel 72000 Le Mans,72000,81420950800021.0,false,Le Mans,0,,,,,,,,,,,,
Association Solid'Avenir,70,9c4761bf-3b0e-4016-84fa-82eda7d61c09,true,33352,9 Rue Armand Caduc,33190,50249017000029.0,false,La Réole,2,41,97,3,36,22,,,9,7,1,17,2
COLLECTIF SOCIAL WEB,71,963a2029-daea-44bb-9cd5-77706659b5c6,true,64102,4 BIS Esplanade Jouandin,64100,80772384600026.0,false,Bayonne,3,2,17,,,,,,,,1,16,
MonAssistantNumérique Pays Basque,72,2748d9fa-396a-45cd-934a-5fa966595659,true,64102,11 impasse Joseph Desarmenien,64100,84214250700016.0,false,Bayonne,3,,,,,,,,,,,,
Mairie de Marsilly,73,b4222f42-07e7-4031-b9d7-a54075db7ee0,true,17222,Rue des Ecoles 17137 Marsilly,17137,21170222000016.0,false,Marsilly,1,,,,,,,,,,,,
France Services/Points Justice Pecquencourt,74,1613d0bb-1d3f-45e6-94fb-b53ef962d619,true,59456,rue de castres  59146 Pecquencourt,59146,21590456600019.0,true,Pecquencourt,2,51,169,2,,7,1,,15,27,46,67,4
UNA CHARENTE VIENNE,75,a180aa7a-8656-4787-b3f0-f222f7d7c3ce,true,16154,"20, IMPASSE DE LA VALENCEAUDE",16160,50100990600022.0,false,Gond Pontouvre,4,1,,,,,,,,,,,
Cyber Espaces Marais,76,cc6e2eee-9a42-491f-a1eb-ffe8af0faaff,true,59350,60 rue Victor Hugo - LILLE,59160,21590355000014.0,false,Lille,4,10,131,11,6,39,,,7,32,20,9,7
Espace France Services Vaugneray,77,b62ca0d0-54fd-4b9c-85c3-15d9b7efa17e,true,69255,5 Place du Marché Vaugneray,69670,20004778500015.0,true,Vaugneray,3,,,,,,,,,,,,
France Services du CC des Monts du Lyonnais,78,0a58e6e6-0d0e-42e6-94fa-1fda9d239383,true,69238,Allee de Pluvy,69590,20006658700011.0,true,Pomeys,5,2,15,,,,,,,,15,,
Médiathèque Armel-de-Wismes Pornic,79,51649208-2eb2-4295-93bb-ac5ae276bd49,true,44131,35 rue tartifume 44210 Pornic,44210,21440131700018.0,false,Pornic,3,,,,,,,,,,,,
"VIRGINIE MICHELLE DEHUYSSER (MICRO-ENTREPRISE DOTEE DE L'AGREMENT SERVICE A LA PERSONNE, SAP)",80,ca39e8df-59a3-4f11-b654-6207ed77c04d,true,68318,12 Rue des Prêtres 68570 Soultzmatt,68570,83799949900028.0,false,Soultzmatt,0,,,,,,,,,,,,
patrick brenot,81,2162f904-77a8-4702-848c-7c1390d9d280,true,21390,18 avenue gaston roupnel,21160,79331484000018.0,false,Marsannay La Cote,1,,,,,,,,,,,,
Association Objectif Emploi,82,8c828e0c-0d8c-455c-a2bd-523c288b9f6f,true,14118,avenue Capitaine Georges Guynemer,14000,39068953700012.0,false,Caen,0,,,,,,,,,,,,
Centre Social de Bagatelle,83,06d48ed3-f438-4415-a5de-6466d89a8366,true,33522,201 Rue Robespierre 33400 Talence,33400,78202130700015.0,false,Talence,5,,,,,,,,,,,,
Programme d'Insertion et d'Orientation Sociale,84,19f5db60-4464-4689-b961-f4d8c97f2334,true,13208,31 BOULEVARD JOSEPH VERNET,13008,42117188500039.0,false,Marseille,11,15,62,2,,21,,,2,17,,15,5
Sophia Loisirs et Vie,85,8c57b179-f254-47b7-8215-44eeab716b55,true,06152,Rue de la Vigne Haute 06560 Valbonne,06560,40314912300016.0,false,Valbonne,7,3,6,,,,,,,,6,,
Communauté de communes du Pays de Pontchâteau/Saint-Gildas-des-Bois,87,9929d8e8-d13e-4b64-af57-31dd35dad260,true,44129,2 Rue des Châtaigniers 44160 Pontchâteau,44160,20000043800099.0,false,Pontchateau,5,1,1,,,,,,,,1,,
Service Pénitentiaire D'Insertion et de Probation d'Indre-et-Loire,88,8e1d9909-e62b-4581-a0bd-e7ca018280bc,true,37261,2 Rue Albert Dennery 37000 Tours,37000,17210120600578.0,false,Tours,0,,,,,,,,,,,,
Maison d'arrêt de DIJON,89,f065eba0-b886-47a0-a979-e159258c5274,true,21231,72 bis rue d'Auxonne,21000,17210120600131.0,false,Dijon,0,,,,,,,,,,,,
Equipe inclusion numérique,90,15ab9cf5-5b8b-474d-a811-de5b633d229e,true,38490,1 Avenue Roland Garros 38590 Saint-Étienne-de-Saint-Geoirs,38590,20005939200015.0,false,Sillans,2,118,12,6,,,,,4,,1,,1
A Lundi,91,ca6d98bc-1ea5-4176-aa02-b7ae840eedbb,true,40312,Rue Hélène Boucher 40220 Tarnos,40220,43402613400065.0,false,Tarnos,3,,,,,,,,,,,,
Mairie de Crolles,92,65ff36c3-8611-4ceb-bd59-91693768f0be,true,38140,Place de la Mairie 38920 Crolles,38920,21380140000010.0,false,Crolles,2,,,,,,,,,,,,
Site Roanne Saint-Clair,95,b14f21e4-3188-4af0-ac0b-2a7c87ffe057,true,42187,28 bis rue du Mayollet,42300,26421024600015.0,false,Roanne,1,,,,,,,,,,,,
SITE ROANNE PARC,96,a305b5db-f813-4834-a91d-fa87942f1b3e,true,42187,25 RUE CONDORCET42300 Roanne,42300,26421024600015.0,false,Roanne,2,3,2,,,,1,,,1,,,
Association des Jeunes Majeurs en Dynamique,98,e8126558-8fb8-47be-a855-e5115e408629,true,97412,354 Rue Raphaël Babet 97480 Saint-Joseph,97480,41245856400033.0,false,St Joseph,4,182,1066,247,,425,1,,7,78,1,72,235
Maison de l'Emploi du Nord de La Réunion,99,ad0485b5-e8a3-447b-a15e-a0d54232ea9c,true,97411,"12, Rue Champ Fleuri 97490 Saint-Denis",97490,49476014300029.0,false,Saint-Denis,6,1,1,,,1,,,,,,,
Mairie de Saint-Paul,100,9719b791-6370-452f-b181-d9e1b1a013f4,true,97415,Place du General de Gaulle 97460 Saint-Paul,97460,21974015600019.0,false,Saint-Paul,44,464,523,208,1,81,3,1,14,109,25,68,13
France Services (CC PAYS DE CHATEAUGIRON COMMUNAUTE),101,318b130a-01c2-4d19-9267-5872cc3c32e1,true,35069,16 Rue de Rennes 35410 Châteaugiron,35410,24350065900129.0,true,Châteaugiron,2,40,626,,,3,,,,33,33,557,
EMERGENCE-OI,103,1363f131-0795-4d90-a245-1dbdb318a8b3,true,97416,43f rue du four a chaux - App 29,97410,48996707500016.0,false,Saint-Pierre,13,20,24,1,,,,,1,9,4,8,1
COMMUNE DE SAINT-JOSEPH,104,5dfb522e-6169-422e-9fc0-f21cfad551ee,true,97412,Rue Raphaël Babet 97480 Saint-Joseph,97480,21974012300019.0,false,Saint-Joseph,7,842,3300,2257,8,94,4,8,36,716,12,144,21
Mairie du Coteau,105,f7d1ee00-279c-4c59-a9a2-9deac7deb09c,true,42071,Parc Bécot,42120,26421035200045.0,false,Le Coteau,5,,,,,,,,,,,,
ASSOCIATION MAHORAISE DE MEDIATION NUMERIQUE (MEDNUM MAYOTTE),106,af26e096-a529-447f-91f2-19e3fe9ff976,true,97616,10 RUE DU COMMERCE BP 321 MAMOUDZOU CEDEX,97640,89202784800019.0,false,Sada,5,,,,,,,,,,,,
Centre Communal d'Action Sociale de Saint Nicolas-lez-Arras,107,a997969d-dedf-48cd-b98b-74751bf7e576,true,62764,Place Jean Jaurès 62223 Saint-Nicolas,62223,26620764600016.0,false,St Nicolas,3,,,,,,,,,,,,
FRANCE SERVICES VEYLE,108,3f54b1a9-6cb4-4b59-a5c3-c26f39fde51b,true,01306,10 Rue de la Poste 01290 Pont-de-Veyle,01290,20007055500087.0,true,Pont-De-Veyle,3,,,,,,,,,,,,
UTAS LA FERE,109,3f51df38-98bb-4c61-92e7-f5fd13ad8fb0,true,02165,Place de l'Europe,02800,22020002600015.0,false,Charmes,30,35,157,11,,5,,,1,26,,93,21
JARDIN DE COCAGNE DE LA HAUTE BORNE,110,2881ad0a-99df-4918-ab1b-2e014b918f8e,true,59009,"150, avenue Harrison",59650,77562407501920.0,false,Villeneuve D Ascq,1,,,,,,,,,,,,
C.C.A.S de Chantilly,111,778aea38-8bd5-496a-a503-26be2e687ac7,true,60141,11 Avenue du Maréchal Joffre 60500 Chantilly,60500,26600141100013.0,false,Chantilly,2,,,,,,,,,,,,
Médiathèque Jean Macé,112,4f307e43-8b4d-4b9c-b480-b20fef968ea6,true,02168,"14, rue Jean de La Fontaine",02400,21020155400016.0,false,Château-Thierry,7,,,,,,,,,,,,
Centre social de Chevreux,113,efd09253-4921-4bbd-87c2-fce6073222fc,true,02722,21 avenue Salvador Allende,02200,21020695900012.0,false,Soissons,1,,,,,,,,,,,,
Centre Social de Presles,114,b4b078a2-38e9-4f85-87c6-c0b9732080be,true,02722,17 avenue Robert Schuman,02200,21020695900012.0,false,Soissons,0,,,,,,,,,,,,
Centre Social Saint Crépin,115,1522568e-506d-48f1-9f48-000914ed3041,true,02722,10 Bd Jean Mermoz,02200,21020695900012.0,false,Soissons,3,,,,,,,,,,,,
Centre Social Saint Waast,116,69fcafe2-4c74-4246-93db-a1d4276b07e5,true,02722,12 rue du Belvédère,02200,21020695900012.0,false,Soissons,0,,,,,,,,,,,,
Espace France Services de la sous-préfecture de Vervins,117,7cf6b3c4-59a7-456c-9091-9a5c9cbaf07a,true,02789,Rue Raoul de Coucy,02140,17020001800035.0,true,Vervins,2,25,,,,,,,,,,,
"Centre socio-culturel ""Le Nautilus""",118,b424a3a8-4e02-4b2f-8890-bc6e6dc0381d,true,62160,4 rue du Détroit,62200,21620160800017.0,false,Boulogne Sur Mer,3,2,10,,,,,,,,10,,
UTAS de Thiérache - Site de Guise,119,f88466e2-80fc-44f6-a138-14e3b792372e,true,02361,"128, Rue du Curoir 02120 GUISE",02120,22020002600015.0,false,Guise,16,1,,,,,,,,,,,
France Services Pays d'Opale,121,043f9cfb-6fb7-4a9b-80fb-c574e318c1ca,true,62397,9 avenue de la libération,62340,20007247800080.0,true,Guines,1,2,1,,,1,,,,,,,
UTAS Thiérache - Site d'Hirson,122,db50d5e9-609e-428a-8c14-9009057f3666,true,02408,2 Rue Paul Doumer 02000 Laon,02000,22020002600015.0,false,Laon,18,2,,,,,,,,,,,
ccas halluin,123,98020f2d-a6f2-4abe-88a2-075d6c73a0f9,true,59279,40 Rue Marthe Nollet 59250 Halluin,59250,26590279100010.0,false,Halluin,6,33,127,49,1,,,1,1,74,,1,
MonAssistantNumérique Lille Métropole,124,683ff2eb-a89f-4292-8238-9389e2b103cf,true,59378,115 bis rue du docteur Charcot,59700,87924062000010.0,false,Marcq En Baroeul,1,,,,,,,,,,,,
CCAS d'Armentières,125,630b2141-ac2a-454f-89b5-d051145b89f4,true,59017,57 Rue Paul Bert 59280 Armentières,59280,26590017500117.0,false,Armentieres,11,17,38,2,,24,,,4,2,,,6
FRANCE SERVICES LA POSTE CRECY-SUR-SERRE,126,e4f36141-7b56-4101-b1f9-cd4c284f19d0,true,02237,1 RUE DES TELLIERS,02270,35600000000048.0,true,Crecy-Sur-Serre,2,4,,,,,,,,,,,
Centre Social et Culturel Guy Môquet,128,2073be06-2af5-443e-ba41-ccdb6c17138c,true,59033,place du 8 mai 1945 - 59620 Aulnoye-Aymeries,59620,33430162900013.0,false,Aulnoye Aymeries,4,,,,,,,,,,,,
CCAS WASQUEHAL,129,b13202df-bc23-4ac9-be76-17cde6fe665a,true,59646,4 Rue Michelet 59290 Wasquehal,59290,26590646100099.0,false,Wasquehal,4,2,2,1,,,,,,1,,,
CCAS de Tourcoing Action Sociale,130,c6eb2b33-1251-47cb-ad6e-9c21e5278c3a,true,59599,26 Rue de la Bienfaisance 59200 Tourcoing,59200,26590599200011.0,false,Tourcoing,4,,,,,,,,,,,,
CCAS RETIERS,131,fa715b9d-75cc-459f-8104-e316530877d3,true,35165,19 Rue Georges Clemenceau 35240 Retiers,35240,26350225400018.0,false,Marcille Robert,1,,,,,,,,,,,,
iLOZ - MAISON DE SERVICES ET DE L'EMPLOI,132,54fd291e-93e9-48ae-a4fa-de8a5eb3e935,true,35219,36 Rue de l'Avenir,35550,38920783800027.0,false,Pipriac,3,,,,,,,,,,,,
Mon Assistant Numérique Pays de Brest,133,2ec79d52-6a96-40b2-9d18-9bdc232f046f,true,29075,10 Rue des Ajoncs d'Or 29490 Guipavas,29490,88095873100015.0,false,Guipavas,1,,,,,,,,,,,,
UDAF de la Loire - Saint-Etienne,134,2688ff2c-f77b-4961-b488-69b27c08764c,true,42218,7 Rue Etienne Dolet 42000 Saint-Étienne,42000,77639896800060.0,false,Saint-Etienne,40,7,5,,,1,,,,1,,,3
CCAS CESSY,135,b4707df7-0ca2-4f3a-85d3-fbcdfa6c366a,true,01173,350 Rue de la Mairie 01170 Cessy,01170,26010095300017.0,false,Gex,3,,,,,,,,,,,,
Association ECLAT,136,0837c648-f02a-469f-9f37-5e66cbe0363d,true,01248,290 Allee des Sports 01390 Saint-André-de-Corcy,01390,40226087100031.0,false,Mionnay,2,24,227,,,13,,,31,33,25,91,34
CCAS DE SAINT ANDRE DE CORCY,137,ab085b61-1d13-49ec-bc78-a60c8b915f8b,true,01333,SQUARE CLAUDIUS BARDET,01390,21010333900011.0,false,Saint-André-De-Corcy,2,3,,,,,,,,,,,
FRANCE SERVICES SAINT TRIVIER DE COURTES,138,164def5e-380e-47e8-a9a1-f34bd4495a3c,true,01388,22 ESPLANADE DE LA POSTE,01560,35600000058530.0,true,Saint Trivier De Courtes,2,1,3,,,,,,,2,,1,
Passerelle,139,2553e7e7-749a-42fd-9aa7-2efcd1aaec4c,true,69383,6 Rue Frédéric Mistral 69003 Lyon,69003,81788385300019.0,false,Lyon 03,7,56,297,36,1,30,,,11,22,4,184,9
MAIRIE DE CALUIRE ET CUIRE,140,13665fc9-ac57-4062-9aed-ba1314029687,true,69034,Place du Docteur Frédéric Dugoujon 69300 Caluire-et-Cuire,69300,21690034000011.0,false,Caluire Et Cuire,0,,,,,,,,,,,,
