name,division,code,no_thd_coverage_rate,no_4g_coverage_rate,poverty_rate,older_65_rate,nscol15p_rate,total
Lagnieu,city,01202,8.0,5.8831892946752165,2.0,5.1168107053247835,7.558405352662392,5.573260583854394
Laiz,city,01203,10.0,5.0,6.0,3.0,7.0,3.7857142857142856
Le Poizat-Lalleyriat,city,01204,7.0,9.0,6.0,3.0,3.0,5.785714285714286
Lantenay,city,01206,10.0,9.0,6.0,5.0,6.0,5.785714285714286
Lapeyrouse,city,01207,7.0,6.0,6.0,1.0,2.0,4.571428571428571
Lavours,city,01208,10.0,7.0,6.0,9.0,8.0,6.642857142857143
Léaz,city,01209,7.0,10.0,6.0,1.0,4.0,4.714285714285714
Lélex,city,01210,6.0,10.0,6.0,5.0,4.0,5.5
Lent,city,01211,7.0,9.0,6.0,4.0,4.0,5.071428571428571
Lescheroux,city,01212,10.0,5.0,6.0,5.0,8.0,5.142857142857143
Leyment,city,01213,6.0,8.0,6.0,1.0,6.0,4.142857142857143
Leyssard,city,01214,5.0,9.0,6.0,5.0,2.0,5.785714285714286
Surjoux-Lhopital,city,01215,8.0,10.0,6.0,3.0,7.0,5.571428571428571
Lhuis,city,01216,7.0,10.0,6.0,8.0,7.0,5.0
Lompnas,city,01219,5.0,10.0,6.0,6.0,6.0,5.857142857142857
Loyettes,city,01224,8.0,5.0,2.0,2.0,6.0,4.428571428571429
Lurcy,city,01225,10.0,5.0,6.0,5.0,3.0,4.0
Magnieu,city,01227,5.0,6.0,6.0,5.0,5.0,4.714285714285714
Maillat,city,01228,3.0,9.0,7.0,4.0,5.0,4.857142857142857
Malafretaz,city,01229,9.0,5.0,7.0,5.0,6.0,4.714285714285714
Mantenay-Montlin,city,01230,7.0,5.0,7.0,7.0,7.0,6.714285714285714
Manziat,city,01231,7.0,5.0,7.0,6.0,7.0,4.285714285714286
Marboz,city,01232,7.0,6.0,7.0,6.0,7.0,4.928571428571429
Marchamp,city,01233,6.0,8.0,7.0,7.0,6.0,6.142857142857143
Marignieu,city,01234,4.0,6.0,7.0,6.0,7.0,5.928571428571429
Marlieux,city,01235,7.0,5.0,7.0,3.0,4.0,4.785714285714286
Marsonnas,city,01236,8.0,5.0,7.0,5.0,4.0,4.285714285714286
Martignat,city,01237,2.0,9.0,7.0,2.0,5.0,4.428571428571429
Massieux,city,01238,8.0,5.0,6.0,4.0,2.0,3.7142857142857144
Massignieu-de-Rives,city,01239,7.0,9.0,6.0,7.0,7.0,5.214285714285714
Matafelon-Granges,city,01240,9.0,8.0,6.0,3.0,7.0,5.428571428571429
Meillonnas,city,01241,5.0,7.0,6.0,6.0,4.0,5.428571428571429
Mérignat,city,01242,10.0,8.0,6.0,2.0,2.0,6.142857142857143
Messimy-sur-Saône,city,01243,10.0,5.0,6.0,4.0,2.0,3.7857142857142856
Meximieux,city,01244,9.0,5.0,2.0,4.32840576016312,3.238435070727667,4.9190955597225505
Bohas-Meyriat-Rignat,city,01245,7.0,9.0,6.0,5.0,3.0,5.0
Mézériat,city,01246,9.0,5.0,3.0,5.0,8.0,5.642857142857143
Mijoux,city,01247,8.0,10.0,6.0,3.0,2.0,4.642857142857143
Mionnay,city,01248,6.0,5.0,6.0,2.0,2.0,3.357142857142857
Miribel,city,01249,9.0,5.0,2.0,3.635929097789285,3.226946823341964,4.463958517085384
Misérieux,city,01250,7.0,5.0,6.0,2.0,2.0,3.0
Mogneneins,city,01252,4.0,5.0,6.0,4.0,4.0,3.9285714285714284
Montagnat,city,01254,6.0,5.0,6.0,5.0,2.0,3.2857142857142856
Montagnieu,city,01255,6.0,7.0,6.0,4.0,5.0,5.214285714285714
Montanges,city,01257,7.0,9.0,6.0,3.0,5.0,5.285714285714286
Montceaux,city,01258,5.0,5.0,6.0,2.0,4.0,4.285714285714286
Montcet,city,01259,7.0,5.0,6.0,2.0,2.0,3.857142857142857
Le Montellier,city,01260,2.0,7.0,6.0,2.0,2.0,4.071428571428571
Monthieux,city,01261,7.0,5.0,9.0,2.0,2.0,4.857142857142857
Montluel,city,01262,9.0,5.969093009820913,4.0,4.030906990179087,4.5772674754477185,5.1885058182718495
Montmerle-sur-Saône,city,01263,8.0,5.0,1.0,6.0,3.0,3.7142857142857144
Montracol,city,01264,9.0,5.0,9.0,3.0,4.0,4.357142857142857
Montréal-la-Cluse,city,01265,7.0,9.0,8.0,3.0,9.0,6.428571428571429
Montrevel-en-Bresse,city,01266,7.0,5.0,3.0,9.0,8.0,6.071428571428571
Nurieux-Volognat,city,01267,7.0,8.0,9.0,4.0,6.0,5.071428571428571
Murs-et-Gélignieux,city,01268,10.0,9.0,9.0,8.0,8.0,7.0
Nantua,city,01269,7.0,9.0,10.0,5.0,7.0,6.857142857142857
Neuville-les-Dames,city,01272,8.0,6.0,7.0,7.0,7.0,4.928571428571429
Neuville-sur-Ain,city,01273,9.0,7.0,7.0,3.0,6.0,4.357142857142857
Les Neyrolles,city,01274,2.0,10.0,7.0,3.0,9.0,6.428571428571429
Neyron,city,01275,10.0,6.0,7.0,4.0,2.0,4.214285714285714
Niévroz,city,01276,5.0,5.0,7.0,1.0,4.0,3.2142857142857144
Nivollet-Montgriffon,city,01277,2.0,9.0,7.0,3.0,5.0,5.5
Oncieu,city,01279,10.0,10.0,7.0,9.0,5.0,6.214285714285714
Ordonnaz,city,01280,7.0,9.0,7.0,7.0,6.0,7.285714285714286
Ornex,city,01281,6.0,7.0,5.0,1.0,1.0,5.0
Outriaz,city,01282,5.0,9.0,7.0,6.0,5.0,6.285714285714286
Oyonnax,city,01283,3.0,6.120650275426575,10.0,4.113708630032693,8.754400107483542,6.150278625490235
Ozan,city,01284,5.0,5.0,7.0,2.0,8.0,4.214285714285714
Parcieux,city,01285,10.0,5.0,5.0,3.0,2.0,3.642857142857143
Parves et Nattages,city,01286,9.0,8.0,5.0,7.0,2.0,4.5
Péron,city,01288,7.0,9.0,2.0,1.0,2.0,4.428571428571429
Péronnas,city,01289,8.0,5.570528580208974,2.0,8.141057160417947,4.858942839582053,5.1735336728422165
Pérouges,city,01290,10.0,5.0,5.0,6.0,5.0,4.571428571428571
Perrex,city,01291,7.0,5.0,5.0,5.0,6.0,3.857142857142857
Peyriat,city,01293,10.0,10.0,5.0,3.0,3.0,4.928571428571429
Peyrieu,city,01294,8.0,10.0,5.0,5.0,5.0,4.928571428571429
Peyzieux-sur-Saône,city,01295,5.0,5.0,5.0,1.0,4.0,4.142857142857143
Pirajoux,city,01296,6.0,5.0,5.0,4.0,9.0,5.357142857142857
Pizay,city,01297,1.0,8.0,5.0,2.0,3.0,3.2142857142857144
Plagne,city,01298,7.0,8.0,5.0,7.0,4.0,5.214285714285714
Le Plantay,city,01299,6.0,5.0,5.0,2.0,2.0,4.285714285714286
Polliat,city,01301,7.0,5.0,5.0,6.0,5.0,4.285714285714286
Pollieu,city,01302,6.0,7.0,5.0,9.0,7.0,5.714285714285714
Poncin,city,01303,9.0,8.0,5.0,6.0,6.0,5.642857142857143
Pont-d'Ain,city,01304,9.0,5.0,3.0,5.0,5.0,4.928571428571429
Pont-de-Vaux,city,01305,7.0,5.0,5.0,9.0,9.0,6.785714285714286
Pont-de-Veyle,city,01306,8.0,5.0,5.0,8.0,9.0,5.5
Port,city,01307,7.0,10.0,5.0,6.0,8.0,5.5
Pougny,city,01308,7.0,10.0,5.0,4.0,2.0,5.571428571428571
Pouillat,city,01309,3.0,9.0,5.0,6.0,5.0,6.571428571428571
Prémeyzel,city,01310,5.0,10.0,5.0,2.0,10.0,5.785714285714286
Prémillieu,city,01311,10.0,9.0,5.0,6.0,3.0,6.142857142857143
Prévessin-Moëns,city,01313,6.0,8.0,5.0,1.0,1.0,4.714285714285714
Priay,city,01314,5.0,9.0,5.0,3.0,4.0,4.5
Ramasse,city,01317,10.0,5.0,5.0,2.0,4.0,5.214285714285714
Rancé,city,01318,6.0,5.0,5.0,1.0,2.0,3.857142857142857
Relevant,city,01319,5.0,5.0,5.0,4.0,4.0,3.642857142857143
Replonges,city,01320,9.0,5.0,5.0,5.0,5.0,3.9285714285714284
Revonnas,city,01321,4.0,6.0,5.0,4.0,2.0,3.7857142857142856
Reyrieux,city,01322,9.0,5.0,1.0,5.0,2.0,3.642857142857143
Reyssouze,city,01323,4.0,5.0,5.0,6.0,9.0,4.714285714285714
Rignieux-le-Franc,city,01325,6.0,5.0,5.0,3.0,4.0,3.5714285714285716
Romans,city,01328,8.0,5.0,5.0,7.0,6.0,5.785714285714286
Rossillon,city,01329,9.0,9.0,5.0,9.0,10.0,7.5
Ruffieu,city,01330,6.0,9.0,5.0,9.0,4.0,6.285714285714286
Saint-Alban,city,01331,10.0,7.0,5.0,3.0,3.0,5.285714285714286
Saint-André-de-Bâgé,city,01332,9.0,5.0,5.0,3.0,5.0,3.7142857142857144
Saint-André-de-Corcy,city,01333,8.0,6.0,5.0,5.0,3.0,4.214285714285714
Saint-André-d'Huiriat,city,01334,7.0,5.0,5.0,1.0,5.0,3.857142857142857
Saint-André-le-Bouchoux,city,01335,6.0,5.0,5.0,2.0,3.0,4.214285714285714
Saint-André-sur-Vieux-Jonc,city,01336,6.0,6.0,5.0,5.0,5.0,4.642857142857143
Saint-Bénigne,city,01337,6.0,5.0,5.0,5.0,7.0,4.714285714285714
Groslée-Saint-Benoit,city,01338,3.0,8.0,5.0,5.0,7.0,5.357142857142857
Saint-Bernard,city,01339,2.0,5.0,5.0,8.0,2.0,3.142857142857143
Sainte-Croix,city,01342,6.0,6.0,5.0,2.0,2.0,3.5714285714285716
Saint-Cyr-sur-Menthon,city,01343,4.0,5.0,4.0,3.0,6.0,3.4285714285714284
Saint-Denis-lès-Bourg,city,01344,5.0,5.0,2.0,7.0,4.0,4.5
Saint-Denis-en-Bugey,city,01345,10.0,5.0,4.0,5.0,6.0,4.357142857142857
Saint-Didier-d'Aussiat,city,01346,6.0,5.0,4.0,4.0,6.0,4.142857142857143
Saint-Didier-de-Formans,city,01347,10.0,5.0,4.0,4.0,2.0,3.142857142857143
Saint-Didier-sur-Chalaronne,city,01348,9.0,5.0,2.0,5.0,7.0,4.285714285714286
Saint-Éloi,city,01349,7.0,5.0,4.0,5.0,3.0,3.5
Saint-Étienne-du-Bois,city,01350,6.0,5.0,4.0,7.0,6.0,4.5
Saint-Étienne-sur-Chalaronne,city,01351,9.0,5.0,4.0,2.0,6.0,3.7142857142857144
Saint-Étienne-sur-Reyssouze,city,01352,10.0,5.0,4.0,5.0,8.0,5.642857142857143
Sainte-Euphémie,city,01353,5.0,5.0,4.0,1.0,2.0,2.7857142857142856
Saint-Genis-Pouilly,city,01354,7.0,6.308790212958767,8.0,1.2237577405225797,1.2237577405225797,4.8891082486460835
Saint-Genis-sur-Menthon,city,01355,7.0,5.0,4.0,2.0,7.0,4.642857142857143
Saint-Georges-sur-Renon,city,01356,10.0,5.0,4.0,2.0,2.0,4.285714285714286
Saint-Germain-de-Joux,city,01357,6.0,9.0,4.0,3.0,6.0,6.0
Saint-Germain-les-Paroisses,city,01358,7.0,9.0,4.0,6.0,6.0,5.785714285714286
Saint-Germain-sur-Renon,city,01359,10.0,5.0,4.0,3.0,7.0,4.714285714285714
Saint-Jean-de-Gonville,city,01360,5.0,10.0,4.0,1.0,2.0,5.357142857142857
Saint-Jean-de-Niost,city,01361,5.0,6.0,4.0,3.0,2.0,3.2142857142857144
Saint-Jean-de-Thurigneux,city,01362,5.0,6.0,4.0,2.0,3.0,3.7857142857142856
Saint-Jean-le-Vieux,city,01363,9.0,6.0,4.0,4.0,5.0,4.642857142857143
Saint-Jean-sur-Reyssouze,city,01364,7.0,5.0,4.0,7.0,8.0,5.5
Saint-Jean-sur-Veyle,city,01365,7.0,5.0,4.0,4.0,8.0,3.857142857142857
Sainte-Julie,city,01366,5.0,5.0,4.0,1.0,5.0,3.0714285714285716
Saint-Julien-sur-Reyssouze,city,01367,7.0,5.0,4.0,6.0,8.0,5.642857142857143
Saint-Julien-sur-Veyle,city,01368,6.0,6.0,4.0,2.0,5.0,4.214285714285714
Saint-Just,city,01369,7.0,5.0,4.0,5.0,4.0,3.9285714285714284
Saint-Laurent-sur-Saône,city,01370,7.0,5.0,4.0,6.0,7.0,6.0
Saint-Marcel,city,01371,6.0,7.0,4.0,1.0,4.0,3.7857142857142856
Saint-Martin-de-Bavel,city,01372,10.0,8.0,4.0,4.0,6.0,5.071428571428571
Saint-Martin-du-Frêne,city,01373,5.0,10.0,4.0,5.0,8.0,5.071428571428571
Saint-Martin-du-Mont,city,01374,9.0,8.0,4.0,4.0,3.0,4.0
Saint-Martin-le-Châtel,city,01375,6.0,5.0,4.0,4.0,5.0,4.071428571428571
Saint-Maurice-de-Beynost,city,01376,10.0,5.0,2.0,4.0,5.0,4.928571428571429
Saint-Maurice-de-Gourdans,city,01378,8.0,5.0,4.0,2.0,3.0,3.5714285714285716
Saint-Maurice-de-Rémens,city,01379,5.0,5.0,4.0,3.0,5.0,3.9285714285714284
Saint-Nizier-le-Bouchoux,city,01380,9.0,5.0,4.0,8.0,8.0,5.928571428571429
Saint-Nizier-le-Désert,city,01381,7.0,5.0,4.0,1.0,6.0,4.071428571428571
Sainte-Olive,city,01382,6.0,5.0,4.0,4.0,3.0,4.214285714285714
Saint-Paul-de-Varax,city,01383,8.0,6.0,4.0,3.0,7.0,5.428571428571429
Saint-Rambert-en-Bugey,city,01384,9.0,10.0,4.0,6.0,9.0,6.642857142857143
Saint-Rémy,city,01385,7.0,5.0,4.0,4.0,4.0,3.857142857142857
Saint-Sorlin-en-Bugey,city,01386,9.0,7.0,4.0,4.0,3.0,4.5
