ID;Name;Is Active;City Insee Code;Address;Zip Code;Siret;France Services Label;Nombre d'aidants;Nombre D'usagers Uniques;Nombre De Demarche Par Structure;Nombre Demarche Argent;Nombre Demarche Etranger;Nombre Demarche Famille;Nombre Demarche Justice;Nombre Demarche Loisirs;Nombre Demarche Papier;Nombre Demarche Social;Nombre Demarche Transport;Nombre Demarche Travail;Nombre Demarche Logement
1037;France Service de Vico;TRUE;2A348;COURS JEAN ETIENNE COLONNA;20160;1;FALSE;6;;;;;;;;;;;;
1039;CCAS AMBROISE CROIZAT;TRUE;62724;RUE FOCH;62320;26 620 724 000 018;FALSE;7;1;5;;;2;;;;2;;2;2
1040;Centre Communal d'Action Sociale de la ville de Limoges;TRUE;87085;9 PL LEON BETOULLE;87000;26 870 853 400 014;FALSE;20;8;74;16;2;21;4;2;25;12;10;10;11
1041;mairie de PLOËZAL;TRUE;22204;3 RUE DE LA MAIRIE;22260;21 220 204 800 014;FALSE;1;;;;;;;;;;;;
1042;Mairie de Callac;TRUE;22025;PL JEAN AUFFRET;22160;21 220 025 700 013;FALSE;1;;;;;;;;;;;;
1043;France services Roi Morvan Communauté;TRUE;56066;13 rue  jacques Rodallec 56110 GOURIN;56110;24 561 441 700 054;TRUE;2;3;9;;;;;;;4;;4;2
1044;Cabinet À portée de mots;TRUE;44184;45 boulevard de la Libération;44600;53 473 623 600 033;FALSE;1;;;;;;;;;;;;
1045;Maison de quartier Chesnaie Trébale;TRUE;44184;1 B RUE DES AJONCS;44600;79 483 501 700 011;FALSE;2;;;;;;;;;;;;
1047;FRANCE SERVICES PARIGNE L'EVEQUE;TRUE;72047;12 RUE DES ECOLES;72250;24 720 042 100 037;TRUE;3;;;;;;;;;;;;
1048;Centre socio-culturel du talmondais;TRUE;85288;292 RUE DU CHAI;85440;33 308 822 700 025;FALSE;2;;;;;;;;;;;;
1049;Ville des Sables d'Olonne- Mairie annexe du Château d'Olonne;TRUE;85194;53 rue Séraphin Buton;85180;20 008 213 900 011;FALSE;3;;;;;;;;;;;;
1050;ATOS;TRUE;87085;7 RUE JOSEPH CUGNOT;87280;34 530 502 300 045;FALSE;5;;;;;;;;;;;;
1051;Ville des Sables d'Olonne- Mairie annexe et agence postale de la Chaume;TRUE;85108;Quai Rousseau Méchin;85108;20 008 213 900 011;FALSE;0;;;;;;;;;;;;
1053;Ville Les Sables d'Olonne- Mairie annexe de la Jarrie Quartier Olonne sur Mer;TRUE;85194;Rue des Sables ( entrée via le parking situé rue de la Rigottières);85100;20 008 213 900 011;FALSE;0;;;;;;;;;;;;
1054;Union départementale des associations familiales de la Creuse;TRUE;23003;50 AV D AUVERGNE BP142;23003;77 799 935 000 047;FALSE;15;;;;;;;;;;;;
1055;LE COCON;TRUE;47233;1 PL DE NEUF BRISACH;47180;82 285 194 500 011;FALSE;2;;;;;;;;;;;;
1056;Association pour le Développement de l'Habitat des Jeunes en Corrèze;TRUE;19272;3 RUE PAUPHILE;19000;44 432 009 700 025;FALSE;7;;;;;;;;;;;;
1057;Convergence;TRUE;47106;RUE DU CHEMIN ROUGE;47500;82 146 423 700 022;FALSE;2;;;;;;;;;;;;
1058;Médiathèque intercommunale THOUARS;TRUE;79329;20 BD BERGEON;79100;24 790 079 800 031;FALSE;1;1;2;;;2;;;;;;;
